firm_id int, firm_name varchar(100), firm_url varchar(300), site_status int, ceo_name varchar(50), settling_day date, exective_name1 varchar(50), exective_name2 varchar(50), exective_name3 varchar(50), exective_name4 varchar(50), exective_name5 varchar(50), exective_name6 varchar(50), exective_name7 varchar(50), exective_name8 varchar(50), exective_name9 varchar(50), exective_name10 varchar(50), exective_name11 varchar(50), exective_name12 varchar(50), exective_name13 varchar(50), exective_name14 varchar(50), exective_name15 varchar(50), ir_url varchar(300), ceo_face_pic_url varchar(300), done int
1456,ダイワ上場投信－日経平均インバース・インデックス,,,,,,,,,,,,,,,,,,,,,,1
1457,ダイワ上場投信－ＴＯＰＩＸインバース（－１倍）指数,,,,,,,,,,,,,,,,,,,,,,1
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,,,,,,,,,,,,,,,,,,,,,,1
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,,,,,,,,,,,,,,,,,,,,,,1
1460,ＭＡＸＩＳ　ＪＡＰＡＮ　クオリティ１５０上場投信,,,,,,,,,,,,,,,,,,,,,,1
1464,ダイワ上場投信－ＪＰＸ日経４００レバレッジ・インデックス,,,,,,,,,,,,,,,,,,,,,,1
1465,ダイワ上場投信－ＪＰＸ日経４００インバース・インデックス,,,,,,,,,,,,,,,,,,,,,,1
1466,ダイワ上場投信－ＪＰＸ日経４００ダブルインバース・インデックス,,,,,,,,,,,,,,,,,,,,,,1
1467,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,,,,,,,,,,,,,,,,,,,,,,1
1468,ＪＰＸ日経４００ベア上場投信（インバース）,,,,,,,,,,,,,,,,,,,,,,1
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,,,,,,,,,,,,,,,,,,,,,,1
1470,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・インデックス連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1471,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・インデックス連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1473,Ｏｎｅ　ＥＴＦ　トピックス,,,,,,,,,,,,,,,,,,,,,,1
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,,,,,,,,,,,,,,,,,,,,,,1
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,,,,,,,,,,,,,,,,,,,,,,1
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,,,,,,,,,,,,,,,,,,,,,,1
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,,,,,,,,,,,,,,,,,,,,,,1
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,,,,,,,,,,,,,,,,,,,,,,1
1479,ダイワ上場投信－ＭＳＣＩ日本株人材設備投資指数,,,,,,,,,,,,,,,,,,,,,,1
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1481,上場インデックスファンド日本経済貢献株,,,,,,,,,,,,,,,,,,,,,,1
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,,,,,,,,,,,,,,,,,,,,,,1
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,,,,,,,,,,,,,,,,,,,,,,1
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,,,,,,,,,,,,,,,,,,,,,,1
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,,,,,,,,,,,,,,,,,,,,,,1
1486,上場インデックスファンド米国債券（為替ヘッジなし）,,,,,,,,,,,,,,,,,,,,,,1
1487,上場インデックスファンド米国債券（為替ヘッジあり）,,,,,,,,,,,,,,,,,,,,,,1
1488,ダイワ上場投信－東証ＲＥＩＴ指数,,,,,,,,,,,,,,,,,,,,,,1
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,,,,,,,,,,,,,,,,,,,,,,1
